,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,-5.0
2011-07-20,-855.0
2011-07-21,-1155.0
2011-07-22,-2160.0
2011-07-25,-2160.0
2011-07-26,-2165.0
2011-07-27,-1765.0
2011-07-28,-720.0
2011-07-29,-720.0
2011-08-01,-720.0
2011-08-02,-725.0
2011-08-03,675.0
2011-08-04,525.0
2011-08-05,4570.0
2011-08-08,4570.0
2011-08-09,4570.0
2011-08-10,4565.0
2011-08-11,7910.0
2011-08-12,7910.0
2011-08-15,7910.0
2011-08-16,7910.0
2011-08-17,7905.0
2011-08-18,8955.0
2011-08-19,14400.0
2011-08-22,14400.0
2011-08-23,14400.0
2011-08-24,14400.0
2011-08-25,14395.0
2011-08-26,15595.0
2011-08-29,14845.0
2011-08-30,12490.0
2011-08-31,12490.0
2011-09-01,12485.0
2011-09-02,12985.0
2011-09-06,15335.0
2011-09-07,16580.0
2011-09-08,16580.0
2011-09-09,16580.0
2011-09-12,16580.0
2011-09-13,16575.0
2011-09-14,16125.0
2011-09-15,14020.0
2011-09-16,14020.0
2011-09-19,14015.0
2011-09-20,15665.0
2011-09-21,15405.0
2011-09-22,16750.0
2011-09-23,16750.0
2011-09-26,16750.0
2011-09-27,16745.0
2011-09-28,16395.0
2011-09-29,17890.0
2011-09-30,17890.0
2011-10-03,17890.0
2011-10-04,17885.0
2011-10-05,16385.0
2011-10-06,15285.0
2011-10-07,14930.0
2011-10-11,14930.0
2011-10-12,14930.0
2011-10-13,14925.0
2011-10-14,14675.0
2011-10-17,13275.0
2011-10-18,15370.0
2011-10-19,15370.0
2011-10-20,15370.0
2011-10-21,15365.0
2011-10-24,13810.0
2011-10-25,13810.0
2011-10-26,13810.0
2011-10-27,13810.0
2011-10-28,13810.0
2011-10-31,13810.0
2011-11-01,13805.0
2011-11-02,16855.0
2011-11-03,16005.0
2011-11-04,14850.0
2011-11-07,14850.0
2011-11-08,14845.0
2011-11-09,13445.0
2011-11-10,18540.0
2011-11-14,18540.0
2011-11-15,18540.0
2011-11-16,18535.0
2011-11-17,20485.0
2011-11-18,21580.0
2011-11-21,21580.0
2011-11-22,21580.0
2011-11-23,21575.0
2011-11-25,22875.0
2011-11-28,23775.0
2011-11-29,21270.0
2011-11-30,21270.0
2011-12-01,21270.0
2011-12-02,21265.0
2011-12-05,21165.0
2011-12-06,21165.0
2011-12-07,21460.0
2011-12-08,21460.0
2011-12-09,21460.0
2011-12-12,21455.0
2011-12-13,21855.0
2011-12-14,21350.0
2011-12-15,21350.0
2011-12-16,21350.0
2011-12-19,21345.0
2011-12-20,20845.0
2011-12-21,19035.0
2011-12-22,17430.0
2011-12-23,17430.0
2011-12-27,17430.0
2011-12-28,17425.0
2011-12-29,18025.0
2011-12-30,17575.0
2012-01-03,17970.0
2012-01-04,17970.0
2012-01-05,17970.0
2012-01-06,17970.0
2012-01-09,17970.0
2012-01-10,17970.0
2012-01-11,17970.0
2012-01-12,17970.0
2012-01-13,17970.0
2012-01-17,17970.0
2012-01-18,17970.0
2012-01-19,17970.0
2012-01-20,17970.0
2012-01-23,17970.0
2012-01-24,17970.0
2012-01-25,17970.0
2012-01-26,17970.0
2012-01-27,17970.0
2012-01-30,17970.0
2012-01-31,17970.0
2012-02-01,17970.0
2012-02-02,17970.0
2012-02-03,17970.0
2012-02-06,17970.0
2012-02-07,17970.0
2012-02-08,17970.0
2012-02-09,17970.0
2012-02-10,17970.0
2012-02-13,17970.0
2012-02-14,17970.0
2012-02-15,17970.0
2012-02-16,17970.0
2012-02-17,17970.0
2012-02-21,17970.0
2012-02-22,17970.0
2012-02-23,17965.0
2012-02-24,16415.0
2012-02-27,17365.0
2012-02-28,17710.0
2012-02-29,17710.0
2012-03-01,17710.0
2012-03-02,17705.0
2012-03-05,18005.0
2012-03-06,17805.0
2012-03-07,20150.0
2012-03-08,20150.0
2012-03-09,20145.0
2012-03-12,19495.0
2012-03-13,18195.0
2012-03-14,17445.0
2012-03-15,18240.0
