,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-22,0.0
2011-08-23,0.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-11,-3.0
2011-10-12,909.5
2011-10-13,259.5
2011-10-14,1247.0
2011-10-17,347.0
2011-10-18,1522.0
2011-10-19,697.0
2011-10-20,947.0
2011-10-21,1809.5
2011-10-24,2772.0
2011-10-25,1697.0
2011-10-26,2359.5
2011-10-27,4534.5
2011-10-28,4409.5
2011-10-31,3034.5
2011-11-01,1272.0
2011-11-02,1984.5
2011-11-03,3272.0
2011-11-04,2847.0
2011-11-07,3159.5
2011-11-08,3972.0
2011-11-09,1684.5
2011-11-10,2222.0
2011-11-14,2909.5
2011-11-15,3359.5
2011-11-16,2359.5
2011-11-17,797.0
2011-11-18,1084.5
2011-11-21,147.0
2011-11-22,-278.0
2011-11-23,-1240.5
2011-11-25,-1940.5
2011-11-28,-456.0
2011-11-29,-456.0
2011-11-30,-456.0
2011-12-01,-456.0
2011-12-02,-456.0
2011-12-05,-459.0
2011-12-06,3.5
2011-12-07,153.5
2011-12-08,-1096.5
2011-12-09,-234.0
2011-12-12,-1309.0
2011-12-13,-1884.0
2011-12-14,-2440.0
2011-12-15,-2227.5
2011-12-16,-2140.0
2011-12-19,-2877.5
2011-12-20,-952.5
2011-12-21,-890.0
2011-12-22,-377.5
2011-12-23,172.5
2011-12-27,322.5
2011-12-28,-515.0
2011-12-29,135.0
2011-12-30,-15.0
2012-01-03,1022.5
2012-01-04,910.0
2012-01-05,1085.0
2012-01-06,935.0
2012-01-09,1110.0
2012-01-10,1597.5
2012-01-11,1685.0
2012-01-12,1847.5
2012-01-13,1472.5
2012-01-17,1735.0
2012-01-18,2385.0
2012-01-19,2747.5
2012-01-20,2747.5
2012-01-23,2935.0
2012-01-24,2722.5
2012-01-25,3422.5
2012-01-26,2922.5
2012-01-27,3022.5
2012-01-30,2585.0
2012-01-31,2697.5
2012-02-01,3397.5
2012-02-02,3372.5
2012-02-03,4247.5
2012-02-06,4247.5
2012-02-07,4535.0
2012-02-08,4585.0
2012-02-09,4672.5
2012-02-10,4147.5
2012-02-13,4647.5
2012-02-14,4522.5
2012-02-15,4372.5
2012-02-16,5097.5
2012-02-17,5235.0
2012-02-21,5222.5
2012-02-22,5072.5
2012-02-23,5335.0
2012-02-24,5422.5
2012-02-27,5610.0
2012-02-28,5797.5
2012-02-29,5472.5
2012-03-01,5810.0
2012-03-02,5672.5
2012-03-05,5435.0
2012-03-06,4372.5
2012-03-07,4960.0
2012-03-08,5572.5
2012-03-09,5797.5
2012-03-12,5772.5
2012-03-13,6947.5
2012-03-14,6929.0
2012-03-15,7341.5
2012-03-16,7491.5
2012-03-19,7754.0
2012-03-20,7466.5
2012-03-21,7529.0
2012-03-22,6916.5
2012-03-23,7116.5
