,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-22,0.0
2011-08-23,0.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-25,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,-3.0
2011-12-02,-456.0
2011-12-05,-456.0
2011-12-06,-456.0
2011-12-07,-456.0
2011-12-08,-456.0
2011-12-09,-456.0
2011-12-12,-456.0
2011-12-13,-456.0
2011-12-14,-459.0
2011-12-15,-462.0
2011-12-16,-465.0
2011-12-19,-718.0
2011-12-20,-718.0
2011-12-21,-718.0
2011-12-22,-718.0
2011-12-23,-718.0
2011-12-27,-718.0
2011-12-28,-721.0
2011-12-29,-124.0
2011-12-30,-127.0
2012-01-03,270.0
2012-01-04,267.0
2012-01-05,-186.0
2012-01-06,-189.0
2012-01-09,-642.0
2012-01-10,-642.0
2012-01-11,-645.0
2012-01-12,-345.0
2012-01-13,-495.0
2012-01-17,-98.0
2012-01-18,-98.0
2012-01-19,-98.0
2012-01-20,-98.0
2012-01-23,-101.0
2012-01-24,-501.0
2012-01-25,-754.0
2012-01-26,-754.0
2012-01-27,-754.0
2012-01-30,-754.0
2012-01-31,-754.0
2012-02-01,-757.0
2012-02-02,-1460.0
2012-02-03,-1460.0
2012-02-06,-1460.0
2012-02-07,-1463.0
2012-02-08,-1263.0
2012-02-09,-663.0
2012-02-10,284.0
2012-02-13,284.0
2012-02-14,284.0
2012-02-15,284.0
2012-02-16,284.0
2012-02-17,284.0
2012-02-21,284.0
2012-02-22,284.0
2012-02-23,284.0
2012-02-24,284.0
2012-02-27,284.0
2012-02-28,284.0
2012-02-29,281.0
2012-03-01,428.0
2012-03-02,425.0
2012-03-05,725.0
2012-03-06,525.0
2012-03-07,2872.0
2012-03-08,2872.0
2012-03-09,2869.0
2012-03-12,2219.0
2012-03-13,919.0
2012-03-14,169.0
2012-03-15,969.0
2012-03-16,219.0
2012-03-19,-681.0
2012-03-20,-1281.0
2012-03-21,-1187.0
2012-03-22,-1937.0
2012-03-23,-1487.0
2012-03-26,-2440.0
2012-03-27,-2443.0
2012-03-28,-1693.0
