,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-22,0.0
2011-08-23,0.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-21,-3.0
2011-11-22,-428.0
2011-11-23,-1390.5
2011-11-25,-2090.5
2011-11-28,-603.0
2011-11-29,109.5
2011-11-30,2334.5
2011-12-01,2422.0
2011-12-02,2409.5
2011-12-05,2809.5
2011-12-06,3272.0
2011-12-07,3419.0
2011-12-08,3419.0
2011-12-09,3416.0
2011-12-12,2341.0
2011-12-13,1766.0
2011-12-14,1210.0
2011-12-15,1419.5
2011-12-16,1419.5
2011-12-19,1419.5
2011-12-20,1419.5
2011-12-21,1419.5
2011-12-22,1419.5
2011-12-23,1419.5
2011-12-27,1419.5
2011-12-28,1419.5
2011-12-29,1419.5
2011-12-30,1419.5
2012-01-03,1419.5
2012-01-04,1419.5
2012-01-05,1419.5
2012-01-06,1419.5
2012-01-09,1419.5
2012-01-10,1419.5
2012-01-11,1419.5
2012-01-12,1419.5
2012-01-13,1419.5
2012-01-17,1419.5
2012-01-18,1419.5
2012-01-19,1419.5
2012-01-20,1419.5
2012-01-23,1419.5
2012-01-24,1419.5
2012-01-25,1419.5
2012-01-26,1419.5
2012-01-27,1419.5
2012-01-30,1416.5
2012-01-31,1526.0
2012-02-01,1526.0
2012-02-02,1526.0
2012-02-03,1526.0
2012-02-06,1526.0
2012-02-07,1523.0
2012-02-08,1570.0
2012-02-09,1570.0
2012-02-10,1570.0
2012-02-13,1570.0
2012-02-14,1567.0
2012-02-15,1414.0
2012-02-16,1414.0
2012-02-17,1414.0
2012-02-21,1411.0
2012-02-22,1258.0
2012-02-23,1258.0
2012-02-24,1258.0
2012-02-27,1258.0
2012-02-28,1255.0
2012-02-29,927.0
2012-03-01,927.0
2012-03-02,927.0
2012-03-05,924.0
2012-03-06,-141.5
2012-03-07,-144.5
2012-03-08,468.0
2012-03-09,690.0
2012-03-12,687.0
2012-03-13,1862.0
2012-03-14,1843.5
2012-03-15,2256.0
2012-03-16,2406.0
2012-03-19,2668.5
2012-03-20,2381.0
2012-03-21,2443.5
2012-03-22,1831.0
2012-03-23,2031.0
2012-03-26,2931.0
2012-03-27,2868.5
