,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,-3.0
2011-08-09,-1240.5
2011-08-10,-165.5
2011-08-11,-2990.5
2011-08-12,-2540.5
2011-08-15,-3878.0
2011-08-16,-3606.0
2011-08-17,-3606.0
2011-08-18,-3606.0
2011-08-19,-3606.0
2011-08-22,-3609.0
2011-08-23,-5062.0
2011-08-24,-5062.0
2011-08-25,-5062.0
2011-08-26,-5062.0
2011-08-29,-5062.0
2011-08-30,-5062.0
2011-08-31,-5062.0
2011-09-01,-5065.0
2011-09-02,-3568.0
2011-09-06,-3568.0
2011-09-07,-3568.0
2011-09-08,-3568.0
2011-09-09,-3568.0
2011-09-12,-3568.0
2011-09-13,-3571.0
2011-09-14,-4705.0
2011-09-15,-4705.0
2011-09-16,-4705.0
2011-09-19,-4708.0
2011-09-20,-4498.5
2011-09-21,-4498.5
2011-09-22,-4498.5
2011-09-23,-4498.5
2011-09-26,-4498.5
2011-09-27,-4501.5
2011-09-28,-3417.0
2011-09-29,-3417.0
2011-09-30,-3417.0
2011-10-03,-3417.0
2011-10-04,-3417.0
2011-10-05,-3417.0
2011-10-06,-3417.0
2011-10-07,-3417.0
2011-10-11,-3417.0
2011-10-12,-3417.0
2011-10-13,-3417.0
2011-10-14,-3420.0
2011-10-17,-2520.0
2011-10-18,-3695.0
2011-10-19,-2873.0
2011-10-20,-2873.0
2011-10-21,-2873.0
2011-10-24,-2873.0
2011-10-25,-2873.0
2011-10-26,-2873.0
2011-10-27,-2873.0
2011-10-28,-2876.0
2011-10-31,-1504.0
2011-11-01,-1504.0
2011-11-02,-1504.0
2011-11-03,-1504.0
2011-11-04,-1504.0
2011-11-07,-1507.0
2011-11-08,-2319.5
2011-11-09,-32.0
2011-11-10,-569.5
2011-11-14,-1260.0
2011-11-15,-1260.0
2011-11-16,-1260.0
2011-11-17,-1263.0
2011-11-18,-1553.5
2011-11-21,-1553.5
2011-11-22,-1556.5
2011-11-23,-594.0
2011-11-25,106.0
2011-11-28,-1381.5
2011-11-29,-2094.0
2011-11-30,-4322.0
2011-12-01,-4325.0
2011-12-02,-4315.5
2011-12-05,-4315.5
2011-12-06,-4318.5
2011-12-07,-4468.5
2011-12-08,-3221.5
2011-12-09,-3224.5
2011-12-12,-2149.5
2011-12-13,-1574.5
2011-12-14,-1030.5
2011-12-15,-1246.0
2011-12-16,-1249.0
2011-12-19,-514.5
2011-12-20,-517.5
2011-12-21,-583.0
2011-12-22,-586.0
2011-12-23,-1139.0
2011-12-27,-1139.0
2011-12-28,-1139.0
2011-12-29,-1142.0
2011-12-30,-995.0
2012-01-03,-995.0
2012-01-04,-998.0
2012-01-05,-1173.0
2012-01-06,-1026.0
2012-01-09,-1026.0
2012-01-10,-1026.0
2012-01-11,-1026.0
2012-01-12,-1026.0
2012-01-13,-1026.0
2012-01-17,-1026.0
2012-01-18,-1026.0
2012-01-19,-1026.0
2012-01-20,-1029.0
2012-01-23,-1216.5
2012-01-24,-1004.0
2012-01-25,-1707.0
2012-01-26,-1707.0
2012-01-27,-1710.0
2012-01-30,-1275.5
2012-01-31,-1275.5
2012-02-01,-1275.5
2012-02-02,-1275.5
2012-02-03,-1275.5
2012-02-06,-1275.5
2012-02-07,-1275.5
2012-02-08,-1275.5
2012-02-09,-1275.5
2012-02-10,-1275.5
2012-02-13,-1275.5
2012-02-14,-1275.5
2012-02-15,-1275.5
2012-02-16,-1275.5
2012-02-17,-1275.5
2012-02-21,-1275.5
2012-02-22,-1275.5
2012-02-23,-1275.5
2012-02-24,-1275.5
2012-02-27,-1275.5
2012-02-28,-1275.5
2012-02-29,-1275.5
2012-03-01,-1275.5
2012-03-02,-1275.5
