,equity
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-15,-3.0
2011-08-16,-278.0
2011-08-17,-478.0
2011-08-18,-3503.0
2011-08-19,-3815.5
2011-08-22,-3643.5
2011-08-23,-3643.5
2011-08-24,-3643.5
2011-08-25,-3643.5
2011-08-26,-3643.5
2011-08-29,-3646.5
2011-08-30,-3134.0
2011-08-31,-3021.5
2011-09-01,-3734.0
2011-09-02,-5234.0
2011-09-06,-6059.0
2011-09-07,-4284.0
2011-09-08,-4559.0
2011-09-09,-6296.5
2011-09-12,-6284.0
2011-09-13,-5321.5
2011-09-14,-4202.5
2011-09-15,-3590.0
2011-09-16,-3215.0
2011-09-19,-3605.5
2011-09-20,-3605.5
2011-09-21,-3605.5
2011-09-22,-3608.5
2011-09-23,-3021.0
2011-09-26,-1821.0
2011-09-27,-971.0
2011-09-28,-2058.5
2011-09-29,-2033.5
2011-09-30,-2771.0
2011-10-03,-4446.0
2011-10-04,-4496.0
2011-10-05,-2521.0
2011-10-06,-1646.0
2011-10-07,-1546.0
2011-10-11,141.5
2011-10-12,1054.0
2011-10-13,404.0
2011-10-14,1391.5
2011-10-17,491.5
2011-10-18,1666.5
2011-10-19,841.5
2011-10-20,1091.5
2011-10-21,1954.0
2011-10-24,2916.5
2011-10-25,1841.5
2011-10-26,2504.0
2011-10-27,4679.0
2011-10-28,4554.0
2011-10-31,3179.0
2011-11-01,1416.5
2011-11-02,2129.0
2011-11-03,3416.5
2011-11-04,2991.5
2011-11-07,3304.0
2011-11-08,4116.5
2011-11-09,1829.0
2011-11-10,2366.5
2011-11-14,3054.0
2011-11-15,3504.0
2011-11-16,2504.0
2011-11-17,941.5
2011-11-18,1229.0
2011-11-21,288.5
2011-11-22,288.5
2011-11-23,288.5
2011-11-25,288.5
2011-11-28,288.5
2011-11-29,288.5
2011-11-30,288.5
2011-12-01,288.5
2011-12-02,288.5
2011-12-05,285.5
2011-12-06,748.0
2011-12-07,898.0
2011-12-08,-352.0
2011-12-09,510.5
2011-12-12,-564.5
2011-12-13,-1139.5
2011-12-14,-1698.5
2011-12-15,-1701.5
2011-12-16,-1614.0
2011-12-19,-2351.5
2011-12-20,-426.5
2011-12-21,-364.0
2011-12-22,148.5
2011-12-23,698.5
2011-12-27,848.5
2011-12-28,11.0
2011-12-29,661.0
2011-12-30,511.0
2012-01-03,1548.5
2012-01-04,1436.0
2012-01-05,1611.0
2012-01-06,1461.0
2012-01-09,1636.0
2012-01-10,2123.5
2012-01-11,2211.0
2012-01-12,2373.5
2012-01-13,1998.5
2012-01-17,2261.0
2012-01-18,2911.0
2012-01-19,3273.5
2012-01-20,3273.5
2012-01-23,3461.0
2012-01-24,3248.5
2012-01-25,3948.5
2012-01-26,3448.5
2012-01-27,3548.5
2012-01-30,3111.0
2012-01-31,3223.5
2012-02-01,3923.5
2012-02-02,3898.5
2012-02-03,4773.5
2012-02-06,4773.5
2012-02-07,5061.0
2012-02-08,5111.0
2012-02-09,5198.5
2012-02-10,4673.5
2012-02-13,5173.5
2012-02-14,5048.5
2012-02-15,4898.5
2012-02-16,5623.5
2012-02-17,5761.0
2012-02-21,5748.5
2012-02-22,5598.5
2012-02-23,5861.0
2012-02-24,5948.5
2012-02-27,6136.0
2012-02-28,6323.5
2012-02-29,5998.5
2012-03-01,6336.0
2012-03-02,6198.5
2012-03-05,5961.0
2012-03-06,4898.5
2012-03-07,5486.0
2012-03-08,6098.5
2012-03-09,6323.5
2012-03-12,6298.5
2012-03-13,7473.5
2012-03-14,7455.0
2012-03-15,7867.5
2012-03-16,8017.5
