,equity,delta
2011-06-01,0.0,0.0
2011-06-02,0.0,0.0
2011-06-03,0.0,0.0
2011-06-06,0.0,0.0
2011-06-07,0.0,0.0
2011-06-08,0.0,0.0
2011-06-09,0.0,0.0
2011-06-10,0.0,0.0
2011-06-13,0.0,0.0
2011-06-14,0.0,0.0
2011-06-15,0.0,0.0
2011-06-16,0.0,0.0
2011-06-17,0.0,0.0
2011-06-20,0.0,0.0
2011-06-21,0.0,0.0
2011-06-22,0.0,0.0
2011-06-23,0.0,0.0
2011-06-24,0.0,0.0
2011-06-27,0.0,0.0
2011-06-28,0.0,0.0
2011-06-29,0.0,0.0
2011-06-30,0.0,0.0
2011-07-01,0.0,0.0
2011-07-05,0.0,0.0
2011-07-06,0.0,0.0
2011-07-07,0.0,0.0
2011-07-08,0.0,0.0
2011-07-11,0.0,0.0
2011-07-12,0.0,0.0
2011-07-13,0.0,0.0
2011-07-14,0.0,0.0
2011-07-15,0.0,0.0
2011-07-18,-3.0,-1.0
2011-07-19,-1178.0,-1.0
2011-07-20,-1153.0,-1.0
2011-07-21,-2078.0,-1.0
2011-07-22,-2078.0,-1.0
2011-07-25,-1743.5,0.0
2011-07-26,-1743.5,0.0
2011-07-27,-1743.5,0.0
2011-07-28,-1743.5,0.0
2011-07-29,-1743.5,0.0
2011-08-01,-1746.5,-1.0
2011-08-02,-296.5,-1.0
2011-08-03,-284.0,-1.0
2011-08-04,2316.0,-1.0
2011-08-05,2603.5,-1.0
2011-08-08,6328.5,-1.0
2011-08-09,5091.0,-1.0
2011-08-10,6166.0,-1.0
2011-08-11,3341.0,-1.0
2011-08-12,3791.0,-1.0
2011-08-15,2453.5,-1.0
2011-08-16,2728.5,-1.0
2011-08-17,2928.5,-1.0
2011-08-18,5953.5,-1.0
2011-08-19,6266.0,-1.0
2011-08-22,6091.0,-1.0
2011-08-23,4641.0,-1.0
2011-08-24,3716.0,-1.0
2011-08-25,4778.5,-1.0
2011-08-26,3828.5,-1.0
2011-08-29,2128.5,-1.0
2011-08-30,1616.0,-1.0
2011-08-31,1503.5,-1.0
2011-09-01,2216.0,-1.0
2011-09-02,3716.0,-1.0
2011-09-06,4538.0,0.0
2011-09-07,4538.0,0.0
2011-09-08,4538.0,0.0
2011-09-09,4538.0,0.0
2011-09-12,4538.0,0.0
