date,equity,delta
2011-06-01,0.0,1.0
2011-06-02,-62.5,1.0
2011-06-03,-687.5,1.0
2011-06-06,-1400.0,1.0
2011-06-07,-1350.0,1.0
2011-06-08,-1787.5,1.0
2011-06-09,-1237.5,1.0
2011-06-10,-2162.5,1.0
2011-06-13,-2200.0,1.0
2011-06-14,-1387.5,1.0
2011-06-15,-2350.0,1.0
2011-06-16,-2400.0,1.0
2011-06-17,-2037.5,1.0
2011-06-20,-1775.0,1.0
2011-06-21,-950.0,1.0
2011-06-22,-1287.5,1.0
2011-06-23,-1850.0,1.0
2011-06-24,-2250.0,1.0
2011-06-27,-1625.0,1.0
2011-06-28,-937.5,1.0
2011-06-29,-375.0,1.0
2011-06-30,375.0,1.0
2011-07-01,1325.0,1.0
2011-07-05,1225.0,1.0
2011-07-06,1237.5,1.0
2011-07-07,2025.0,1.0
2011-07-08,1475.0,1.0
2011-07-11,262.5,1.0
2011-07-12,150.0,1.0
2011-07-13,137.5,1.0
2011-07-14,-175.0,1.0
2011-07-15,87.5,1.0
2011-07-18,-500.0,1.0
2011-07-19,675.0,1.0
2011-07-20,650.0,1.0
2011-07-21,1575.0,1.0
2011-07-22,1575.0,1.0
2011-07-25,1237.5,1.0
2011-07-26,975.0,1.0
2011-07-27,-375.0,1.0
2011-07-28,-612.5,1.0
2011-07-29,-1025.0,1.0
2011-08-01,-1250.0,1.0
2011-08-02,-2700.0,1.0
2011-08-03,-2712.5,1.0
2011-08-04,-5312.5,1.0
2011-08-05,-5600.0,1.0
2011-08-08,-9325.0,1.0
2011-08-09,-8087.5,1.0
2011-08-10,-9162.5,1.0
2011-08-11,-6337.5,1.0
2011-08-12,-6787.5,1.0
2011-08-15,-5450.0,1.0
2011-08-16,-5725.0,1.0
2011-08-17,-5925.0,1.0
2011-08-18,-8950.0,1.0
2011-08-19,-9262.5,1.0
2011-08-22,-9087.5,1.0
2011-08-23,-7637.5,1.0
2011-08-24,-6712.5,1.0
2011-08-25,-7775.0,1.0
2011-08-26,-6825.0,1.0
2011-08-29,-5125.0,1.0
2011-08-30,-4612.5,1.0
2011-08-31,-4500.0,1.0
2011-09-01,-5212.5,1.0
2011-09-02,-6712.5,1.0
2011-09-06,-7537.5,1.0
2011-09-07,-5762.5,1.0
2011-09-08,-6037.5,1.0
2011-09-09,-7775.0,1.0
2011-09-12,-7762.5,1.0
2011-09-13,-6800.0,1.0
2011-09-14,-5675.0,1.0
2011-09-15,-5062.5,1.0
2011-09-16,-4687.5,1.0
2011-09-19,-5075.0,1.0
2011-09-20,-5287.5,1.0
2011-09-21,-6612.5,1.0
2011-09-22,-9275.0,1.0
2011-09-23,-8687.5,1.0
2011-09-26,-7487.5,1.0
2011-09-27,-6637.5,1.0
2011-09-28,-7725.0,1.0
2011-09-29,-7700.0,1.0
2011-09-30,-8437.5,1.0
2011-10-03,-10112.5,1.0
2011-10-04,-10162.5,1.0
2011-10-05,-8187.5,1.0
2011-10-06,-7312.5,1.0
2011-10-07,-7212.5,1.0
2011-10-11,-5525.0,1.0
2011-10-12,-4612.5,1.0
2011-10-13,-5262.5,1.0
2011-10-14,-4275.0,1.0
2011-10-17,-5175.0,1.0
2011-10-18,-4000.0,1.0
2011-10-19,-4825.0,1.0
2011-10-20,-4575.0,1.0
2011-10-21,-3712.5,1.0
2011-10-24,-2750.0,1.0
2011-10-25,-3825.0,1.0
2011-10-26,-3162.5,1.0
2011-10-27,-987.5,1.0
2011-10-28,-1112.5,1.0
2011-10-31,-2487.5,1.0
2011-11-01,-4250.0,1.0
2011-11-02,-3537.5,1.0
2011-11-03,-2250.0,1.0
2011-11-04,-2675.0,1.0
2011-11-07,-2362.5,1.0
2011-11-08,-1550.0,1.0
2011-11-09,-3837.5,1.0
2011-11-10,-3300.0,1.0
2011-11-14,-2612.5,1.0
2011-11-15,-2162.5,1.0
2011-11-16,-3162.5,1.0
2011-11-17,-4725.0,1.0
2011-11-18,-4437.5,1.0
2011-11-21,-5375.0,1.0
2011-11-22,-5800.0,1.0
2011-11-23,-6762.5,1.0
2011-11-25,-7462.5,1.0
2011-11-28,-5975.0,1.0
2011-11-29,-5262.5,1.0
2011-11-30,-3037.5,1.0
2011-12-01,-2950.0,1.0
2011-12-02,-2962.5,1.0
2011-12-05,-2562.5,1.0
2011-12-06,-2100.0,1.0
2011-12-07,-1950.0,1.0
2011-12-08,-3200.0,1.0
2011-12-09,-2337.5,1.0
2011-12-12,-3412.5,1.0
2011-12-13,-3987.5,1.0
2011-12-14,-4537.5,1.0
2011-12-15,-4325.0,1.0
2011-12-16,-4237.5,1.0
2011-12-19,-4975.0,1.0
2011-12-20,-3050.0,1.0
2011-12-21,-2987.5,1.0
2011-12-22,-2475.0,1.0
2011-12-23,-1925.0,1.0
2011-12-27,-1775.0,1.0
2011-12-28,-2612.5,1.0
2011-12-29,-1962.5,1.0
2011-12-30,-2112.5,1.0
2012-01-03,-1075.0,1.0
2012-01-04,-1187.5,1.0
2012-01-05,-1012.5,1.0
2012-01-06,-1162.5,1.0
2012-01-09,-987.5,1.0
2012-01-10,-500.0,1.0
2012-01-11,-412.5,1.0
2012-01-12,-250.0,1.0
2012-01-13,-625.0,1.0
2012-01-17,-362.5,1.0
2012-01-18,287.5,1.0
2012-01-19,650.0,1.0
2012-01-20,650.0,1.0
2012-01-23,837.5,1.0
2012-01-24,625.0,1.0
2012-01-25,1325.0,1.0
2012-01-26,825.0,1.0
2012-01-27,925.0,1.0
2012-01-30,487.5,1.0
2012-01-31,600.0,1.0
2012-02-01,1300.0,1.0
2012-02-02,1275.0,1.0
2012-02-03,2150.0,1.0
2012-02-06,2150.0,1.0
2012-02-07,2437.5,1.0
2012-02-08,2487.5,1.0
2012-02-09,2575.0,1.0
2012-02-10,2050.0,1.0
2012-02-13,2550.0,1.0
2012-02-14,2425.0,1.0
2012-02-15,2275.0,1.0
2012-02-16,3000.0,1.0
2012-02-17,3137.5,1.0
2012-02-21,3125.0,1.0
2012-02-22,2975.0,1.0
2012-02-23,3237.5,1.0
2012-02-24,3325.0,1.0
2012-02-27,3512.5,1.0
2012-02-28,3700.0,1.0
2012-02-29,3375.0,1.0
2012-03-01,3712.5,1.0
2012-03-02,3575.0,1.0
2012-03-05,3337.5,1.0
2012-03-06,2275.0,1.0
2012-03-07,2862.5,1.0
2012-03-08,3475.0,1.0
2012-03-09,3700.0,1.0
2012-03-12,3675.0,1.0
2012-03-13,4850.0,1.0
2012-03-14,4837.5,1.0
2012-03-15,5250.0,1.0
2012-03-16,5400.0,1.0
2012-03-19,5662.5,1.0
2012-03-20,5375.0,1.0
2012-03-21,5437.5,1.0
2012-03-22,4825.0,1.0
2012-03-23,5025.0,1.0
2012-03-26,5925.0,1.0
2012-03-27,5862.5,1.0
2012-03-28,5437.5,1.0
2012-03-29,5350.0,1.0
2012-03-30,5625.0,1.0
2012-04-02,6187.5,1.0
2012-04-03,5762.5,1.0
2012-04-04,5237.5,1.0
2012-04-05,5150.0,1.0
2012-04-06,4200.0,1.0
2012-04-09,4387.5,1.0
2012-04-10,3200.0,1.0
2012-04-11,3625.0,1.0
2012-04-12,4625.0,1.0
2012-04-13,3912.5,1.0
2012-04-16,3850.0,1.0
2012-04-17,4825.0,1.0
2012-04-18,4575.0,1.0
2012-04-19,4150.0,1.0
2012-04-20,4162.5,1.0
2012-04-23,3550.0,1.0
2012-04-24,3850.0,1.0
2012-04-25,4712.5,1.0
2012-04-26,5287.5,1.0
2012-04-27,5475.0,1.0
