date,equity,delta
2011-06-01,0.0,1.0
2011-06-02,1400.0,1.0
2011-06-03,1250.0,1.0
2011-06-06,1400.0,1.0
2011-06-07,1650.0,1.0
2011-06-08,1550.0,1.0
2011-06-09,1950.0,1.0
2011-06-10,1200.0,1.0
2011-06-13,2350.0,1.0
2011-06-14,3000.0,1.0
2011-06-15,1700.0,1.0
2011-06-16,2900.0,1.0
2011-06-17,4000.0,1.0
2011-06-20,3850.0,1.0
2011-06-21,3200.0,1.0
2011-06-22,2900.0,1.0
2011-06-23,3250.0,1.0
2011-06-24,3150.0,1.0
2011-06-27,3750.0,1.0
2011-06-28,3300.0,1.0
2011-06-29,2750.0,1.0
2011-06-30,2150.0,1.0
2011-07-01,1400.0,1.0
2011-07-05,550.0,1.0
2011-07-06,650.0,1.0
2011-07-07,750.0,1.0
2011-07-08,150.0,1.0
2011-07-11,500.0,1.0
2011-07-12,1450.0,1.0
2011-07-13,2000.0,1.0
2011-07-14,2100.0,1.0
2011-07-15,2550.0,1.0
2011-07-18,2250.0,1.0
2011-07-19,2800.0,1.0
2011-07-20,1950.0,1.0
2011-07-21,1650.0,1.0
2011-07-22,650.0,1.0
2011-07-25,550.0,1.0
2011-07-26,950.0,1.0
2011-07-27,1350.0,1.0
2011-07-28,2400.0,1.0
2011-07-29,2350.0,1.0
2011-08-01,1750.0,1.0
2011-08-02,1250.0,1.0
2011-08-03,2650.0,1.0
2011-08-04,2500.0,1.0
2011-08-05,6550.0,1.0
2011-08-08,6850.0,1.0
2011-08-09,10850.0,1.0
2011-08-10,6050.0,1.0
2011-08-11,9400.0,1.0
2011-08-12,8300.0,1.0
2011-08-15,8500.0,1.0
2011-08-16,7350.0,1.0
2011-08-17,7550.0,1.0
2011-08-18,8600.0,1.0
2011-08-19,14050.0,1.0
2011-08-22,16000.0,1.0
2011-08-23,17100.0,1.0
2011-08-24,14950.0,1.0
2011-08-25,14200.0,1.0
2011-08-26,15400.0,1.0
2011-08-29,14650.0,1.0
2011-08-30,12300.0,1.0
2011-08-31,13150.0,1.0
2011-09-01,12300.0,1.0
2011-09-02,12800.0,1.0
2011-09-06,15150.0,1.0
2011-09-07,16400.0,1.0
